,Agric,Food ,Soda ,Beer ,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Gold ,Mines,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  
198102,-5.88,1.22,6.97,3.17,0.75,5.38,2.62,8.95,2.46,-2.9,3.76,1.91,3.89,-1.32,1.21,4.17,0.04,2.55,-1.42,3.56,2.01,6.82,-3.84,-5.78,-2.82,-0.47,-1.33,2.15,6.73,0.18,0.3,-6.72,0.97,0.42,8.4,7.98,2.19,-1.35,3.22,8.76,2.4,1.72,1.4,1.85
198103,4.06,8.18,4.11,7.96,12.49,14.11,7.45,2.98,8.73,16.18,3.87,5.19,2.58,10.33,4.77,8.81,5.67,19.95,10.41,5.43,9.38,7.86,2.92,13.76,17.62,-2.56,3,1.16,5.99,10.39,1.67,12.7,9.61,6.89,7.01,3.18,11.48,13.04,13.5,8.72,2.72,12.12,11.71,6.9
198104,4.47,0.42,-1.88,-2.05,4.54,0.69,5.96,-0.49,-3.27,4.37,2.19,3.05,-2.34,4.38,10.65,-0.94,-7.58,-1.58,1.33,-0.03,5.08,1.63,1.03,0.56,-0.72,-7.46,-2.54,6.21,6.31,3.57,-2.2,6.48,2.12,3.84,-4.4,-1.03,1.83,-1.4,4.23,4.77,0.34,2.35,-0.82,0.13
198105,4.47,1.42,6.13,1.28,5.93,6.16,5.49,-0.18,1.67,12.04,5.1,1.83,-1.37,3.66,0.62,0.9,-3.9,-0.08,3.61,-1.11,3.35,2.92,-0.68,2,-0.92,-4.06,2.04,7.14,-0.17,2.72,3.35,12.4,4.69,7.15,0.92,-0.91,5.42,1.97,2.57,2.49,5.24,1.66,-0.39,2.05
198106,-0.5,-0.7,-1.67,0.6,-9.36,-4.92,-0.8,-1.62,1.6,-9.22,-7.27,-4.54,2.27,-2.6,-0.28,-1.24,-4.23,-6.36,-1.64,-3.16,-4.61,-2.65,-2.83,-19.8,3.81,4.8,3.53,-1.91,2.13,-4.48,-5.79,-10.43,-7.33,-9.38,-0.78,0.49,-6.92,-2.54,-1.22,-1.98,2.69,2.6,1.21,0.85
198107,-0.22,-0.64,-2.39,-1.08,-7.03,-7.09,-1.5,-2.87,0.3,-3.15,-3.36,-4.16,-3.76,-1,-3.03,-5.6,-3.93,0.18,5,0.48,-5.42,-3.53,-6.34,6.44,4.55,7.85,2.74,0.37,-4.38,-3.81,-4.46,-1.73,-2.87,-2.2,-1.79,-4.23,-3.96,-3.46,-2.76,-5.88,-3.71,-4.76,-2.89,-2.05
198108,-6.08,-5.36,-3.59,-5.72,-2.7,-7.86,-4,-6.2,-5.68,-16,-10.87,-5.56,-6.4,-9.13,-6.82,-6.36,-5.78,-7.23,-5.43,-6.87,-4.46,-8.84,-10.7,9.23,-1.63,-6.34,-0.84,-0.8,-6.12,-6.18,-5.07,-4.59,-9.47,-9.99,-9.31,-4.96,-7.88,-2.17,-6.07,-10.64,-5.37,-4.69,-6.38,-5.25
198109,-2.56,-3.3,1.33,-0.63,-2.27,-1.99,-5.09,-2.34,-3.16,-0.94,1.56,-2.19,-8.97,-6.6,-2.2,-8.24,-12.89,-9.52,-11.6,-9.66,-5.37,-3.97,-4.83,-14.52,-16.01,-12.34,-5.45,2.81,-2.5,-7.26,-3.39,-8.07,-3.78,-4.82,-6.47,-4.52,-5.3,-9.29,-2.65,-2.74,-1,-0.11,-9.18,-3.9
198110,6.62,8.13,11.53,8.27,11.16,11.6,8.54,1.53,2.71,14.89,9.52,6.53,6.2,6.94,5.86,1.18,-3.53,1.24,14.7,3.61,4,-8.74,6.77,-6.42,1.65,9.96,4.75,6.03,5.73,10.95,1.81,16.15,8.36,7.9,1.22,3.04,9.31,9.02,5.48,11.63,5.9,8.29,6.57,7.91
198111,3.85,2.02,0.69,3.36,-3.61,3.24,5.67,5.95,0.49,-4.46,6.9,4.3,3.81,2.31,0.28,5.45,9.77,4.41,1.56,6.02,3.52,2.76,-1.42,-1.3,4.26,6.88,6,2.64,5.76,4.25,2.9,-4.64,1.66,-3.48,8.79,7.24,4.81,1.37,1.16,1.49,5.07,5.76,5.28,5.93
198112,1.88,1.52,-2.94,-2.15,-0.5,-2.11,-3.33,-1.28,-2.41,-5.71,-1.19,0.07,-2.45,-2.47,1.04,-1.81,-1.91,-2.66,0.76,-2.77,-0.56,3.16,-0.17,-8.93,-5.9,-6.55,-2.28,-1.43,-0.61,-1.89,2.06,-3.26,-2.3,-1.82,-2.03,0.27,-3.76,-2.9,-1.89,-3.94,-5.46,-4.46,-2.05,-2.93
198201,-7.72,0.74,-2.21,1.84,-0.15,6.96,-4.58,4.75,-1.32,-3.06,1.93,1.9,-4.85,-3.87,2.29,-6.11,-8.2,-8.9,-6.7,-5.33,-2.1,-0.96,-4.59,-11.29,-16.21,-8.59,-0.55,0.67,-3.29,-4.74,6.38,0.92,-2.73,4.22,-4.15,-0.8,-3.41,-2.09,1.33,-0.84,-1.03,0.69,-3.3,-3.8
198202,-3.65,1.83,-6.84,-1.55,-8.66,-4.51,-1.26,-3.34,-4,-5.19,-1.61,-1.43,-7.35,-0.27,-5.1,-5.13,-9.74,-4.71,-6.87,-8.33,-3.92,-3.13,-5.44,-8.45,-7.84,-10.92,-0.29,-5.7,-2.33,-5.18,-4.06,-8.88,-5.4,-8.77,-3.63,-2.51,-5.19,-3.31,-0.58,-3.37,-2.19,0.01,-4.68,-4.52
198203,-5.58,2.12,8.01,4.73,5.95,4.85,0.16,0.99,0.81,-2.92,-1.37,-2.88,-1.24,-1.99,0.45,-2.35,-6.65,-5.17,-11.12,-3.8,2.39,4.75,0.39,-7.15,-13.98,-3.58,1.68,2.05,1.53,-2.4,-5.6,-5.88,-0.79,-2.74,-2.51,-0.31,0.72,-0.83,4.94,8.43,-0.94,1.6,-0.65,-2.34
198204,9.97,6.35,5.85,9.92,7.87,2.02,5.09,2.08,5.91,10.05,8.21,6.76,4.89,2.76,10.17,3.39,1.28,1.6,3.67,0.28,6.62,5.14,5.12,-2.13,0.32,4.41,3.91,-0.17,7.39,7.21,6.6,13.09,7.76,10.26,4.38,1.61,3.68,3.06,6.16,5.55,3.73,-0.02,3.56,4.6
198205,-5.61,-2.75,-1.16,-2.5,-6.31,-4.45,-5.64,-1.99,0.22,-6.97,-1.85,-2.91,-4.43,-3.04,-2.94,-4.63,-6.81,-6.82,-2.32,-8.34,-3.49,0.08,-4.25,-10.42,-5.66,2.61,-0.48,-1.05,-9.12,-4.16,-5.2,-4.92,-6.15,-3.84,-6.33,-3.42,-6.63,-1.87,-2.64,-4.78,-7.33,-6.25,-0.61,-4.51
198206,-3.4,1.94,3.48,2.15,-1.22,3.5,-0.01,1.56,2.92,0.37,1.65,-1.56,-4.87,-3.04,-2.87,-2.59,-4.68,-6.7,-17.54,-5.47,-2.03,3.97,-2.17,-12.69,-7.28,-6.47,-2.19,-2.55,-3.23,-1.89,-2.1,-6.99,-1.62,-4.61,-0.19,1.1,0.9,-0.57,3.5,2.8,-2.16,-2.49,-6.53,-2.61
198207,-5.53,-0.38,4.54,8.67,4.16,-3.78,-2.12,1.73,-0.88,8.26,-0.97,0.33,-4.42,-3.38,1.46,-1.13,-8.03,-4.61,-3.64,-5.94,-1.57,-3.75,3.84,4.14,-11.32,-7.93,-2.6,1.18,0.52,0.65,3.89,-9.11,0.08,-2.23,-3.82,-0.3,-6.13,-1.46,0.54,-0.65,-3.74,-3.4,-4.15,-2.6
198208,0.79,7.2,8.14,4.05,7.45,-0.02,12.21,12.38,11.63,18.46,13.8,11.01,15.16,5.33,8.98,14.13,18.8,13.32,1.47,11.81,15.19,15.66,20.62,39.91,13.51,9.81,11.94,10.84,14.55,10.24,12.45,17.24,11.01,19.64,13.71,14.62,11.5,16.33,11.67,11.07,11.2,8.1,8.69,12.78
198209,7.69,2.35,5.99,6.18,0.44,-0.35,9.02,0.39,11.22,3.04,-1.91,2.13,-0.41,3.48,2.65,0.67,2.42,-5.19,-5.71,-4.74,-2.57,-1.54,0.56,3.68,-3.03,1.99,1.05,1.03,7.18,4.81,1.64,8.04,0.04,-0.57,-0.86,1.89,-2.66,4.03,5.53,0.57,6.66,8.2,2.63,5.11
198210,10.91,8.9,1.63,6.97,19.34,20.89,16.91,11.88,11.99,17.05,6.93,7.37,12.48,11.58,16.77,18.59,24.01,9.31,9.67,11.37,17.87,17.32,16.21,22.12,10.56,5.58,4.88,8.18,11.99,15.62,14.89,34.1,18.89,17.7,18.63,12.88,17.63,18.12,17.1,12.72,20.43,10.49,19.47,14.63
198211,4.69,3.81,6.67,7.06,11.74,5.71,11,8.79,9.95,12.01,7.67,3.29,3.07,8.78,3.96,11.11,13.99,3.65,3.14,4.88,7.19,8.39,4.46,12.36,-1.07,-4.44,0.11,6.01,7.37,11.03,10.27,9.08,9.25,14.58,3.68,4.35,11.01,11.14,11.75,5.56,6.33,7.66,15.94,5.83
198212,3.45,1.75,-0.98,-3.95,-8.59,-16.86,3.48,-1.25,-0.13,3.99,2.11,-0.64,-1.97,2.62,4.57,4.06,-1.58,5.69,4.68,4.67,1.48,6.08,2.19,23.37,6.23,5.51,4.31,-1.23,-0.79,1.65,5.78,-6.58,-1.09,0.59,0.98,1.51,-0.61,0.11,-3.01,-1.84,-4.84,-0.47,2.19,-2.05
198301,0.86,0.1,-3.04,1.65,9.87,1.12,-3.92,3.71,-2.3,-3.02,0.78,2.62,9.16,6.48,4.26,2.63,6.69,8.08,5.14,6.17,6.6,2.36,7.37,23.02,12.05,3.65,3.5,12.35,2.11,6.16,7.64,22.16,8.59,10.49,2.1,0.7,6.76,4.83,0.67,1.29,1.99,-1.13,3.78,0.27
198302,7.83,0.95,0.28,4.68,12.76,6.76,7.88,4.54,8.8,7.82,2.28,1.98,4.16,11.69,5.98,5.4,-0.08,3.94,-0.37,0.82,5.28,0.45,6.25,-25.63,-6.07,-0.3,1.35,-0.3,7.33,8.28,2.65,-0.83,4.21,6.39,5.85,5.78,6.07,8.82,7.68,9.23,5.84,8.17,6.95,4.44
198303,3.75,5.26,6.9,11.21,-9.25,0.73,9.97,0.43,12.49,14.22,3.06,3.17,1.15,8.28,8.03,5.43,5.39,2.93,2.36,0.49,-1.75,-0.81,6.73,5,2.68,6.03,0.33,0.71,1.35,2.03,1.11,5.53,1.64,-3.78,3.7,2.36,1.55,3.58,10.69,3.53,8.04,6.92,11.8,6.15
198304,-2.97,6.13,4.23,5.38,3.58,6.71,8.94,6.04,9.08,4.7,4.48,5.4,8.75,6.08,6.81,3.6,9.57,3.05,3.27,6.08,0.71,16.02,4.94,11.57,8.21,9.51,4.69,5.13,12.4,5.68,11.24,6.67,3.66,-1.4,7.87,8.33,3.51,6.71,9.76,6.94,12.14,4.47,8.14,9.29
198305,3.13,0.29,-4.33,-3.31,9.47,4.73,0.02,-5.9,0.2,0.4,-2.28,-3.53,4.38,6.33,2.33,1.36,5.93,9.51,6.23,4.82,7.05,-1.49,0.6,12.48,9.37,1.2,2.64,-1.28,-1.31,3.59,-0.63,8.7,5.8,10.75,3.78,2.94,4.77,2.14,-0.01,3.29,-0.78,-1.41,5.66,1.72
198306,0.7,2.13,-0.97,-0.01,11.46,0.34,6.06,4.24,8.11,4.78,6.19,7.58,0.96,2.66,7.39,-0.65,-0.78,-1.98,3.34,3.67,7.05,10.41,7.5,-5.52,0.59,6.46,-0.41,0.23,3.31,4.53,6.3,0.43,5.03,9.79,-2.84,-0.28,7.87,7.01,6.29,7.75,-1.21,-0.27,-3.63,1.17
198307,6.02,-2.09,-5.54,-0.36,-2,-9.93,-4.12,-6.06,-5.66,-8.27,-9.57,-3.53,0.14,0.52,-0.67,-3.26,-5.57,-0.77,7.36,-3.04,-7.3,-1.61,-5.99,-1.43,0.29,-2.39,1.05,-5.17,-4.42,-7.42,-4.29,-11.61,-4.11,-7.27,0.82,-3.25,-4.36,-7.2,-2.29,-5.6,-2.32,-6.67,-6.05,-0.66
198308,-2.83,1.14,5.8,3.22,0.22,-3.86,-1.97,-1.22,-6.5,-5.24,-3.65,0.77,6.89,-4.35,-0.29,-3.9,-4.89,7.82,-8.46,-1.05,-2.18,-3.24,-5.17,3.49,0.7,7.22,1.5,2.19,-2.54,-2.23,-0.51,-2.58,-2.37,0.73,0.24,-0.4,-2.34,-2.57,-5.42,-4.13,1.16,2.71,-1.33,0.09
198309,0.75,6.61,2.1,4.72,2.29,2.48,3.79,3.09,1.11,-2.17,1.73,1.93,-0.16,2.33,1.85,3.82,1.31,-2.42,0.65,4.25,3.36,4.78,3.68,-18.82,-4.76,-4.94,4.66,2.26,0.29,2.25,3.49,2.2,1.53,-1.43,2.72,5.27,0.99,2.69,2.03,4.41,3.05,2.04,4.33,1.36
198310,-4.36,4.22,2.7,-2.73,-5.27,-3.3,-5.05,-1.39,-4.58,-11.16,-4.9,0.68,-2.87,-4.65,-4.18,-3.38,-10.27,-5.21,-4.73,-4.8,-2.48,2.4,-3.79,-12.91,-11.06,-2.08,3.07,-5.22,-4.48,-8.93,-4.79,-15.41,-6.63,-11.98,0.43,1.86,1.82,-5.17,-0.82,-2.64,-6.67,-1.2,-4.75,-2.16
198311,4.67,2.05,7.15,-3.47,4.49,0.02,2.55,8.41,1.1,-3.2,-2.82,-3.06,2.44,0.62,8.83,7.9,6.98,9.49,2.12,6.03,10.85,-0.01,10.85,18.08,6.22,-0.6,-1.56,3.17,7.48,5.02,-2.3,8.2,7.87,9.83,11.86,4.09,6.9,4.71,4.23,5.04,7.22,3.62,3.98,2.58
198312,1.07,0.3,-0.97,-2.68,-0.8,6.83,-2.01,0.25,-3.26,1.74,-3.57,-4.61,-3.06,-1.02,-1.77,-1.09,-1.78,1.14,-0.26,1.16,-0.41,0.72,-1.63,-1.76,-2.13,1.97,-3.64,-1.52,0.13,-2.5,2.47,-4.52,-2.83,2.72,-0.83,-2.04,-1.34,-1.1,-6.1,-4.13,-0.33,-1.08,-3.76,-0.61
198401,2.7,2.84,-3.43,-1.59,-7.62,1.45,-5.36,-5.69,-7.31,2.27,-5.44,0.3,-4.22,0.87,-4.3,-3.62,-0.82,-1.94,-1.92,-0.99,-4.56,-4.03,-1.19,-0.85,1.72,10.05,1.49,4.06,-7.17,-5.99,-5.69,-13.66,-6.4,-5.87,-6.1,-3.22,-4.3,-4.33,-6.38,-3.88,2.96,-4.04,-2.9,0.06
198402,-6.75,-5.36,0.54,-7.39,-6.13,-8.98,-8.38,-5.41,-1.85,-4.17,-6.39,-0.3,-7.21,-6.17,-7.78,-7.26,-2.87,-7.78,-6.81,-7.64,-7.38,-6.7,-6.88,13.69,0.02,3.94,-3.36,-3.7,-6.39,-5.68,-4.36,-7.95,-7.56,-9.47,-4.52,-3.24,-8.23,-4.71,-4.32,-6.09,-6.54,-1.85,-7.99,-5.08
198403,3.65,0.24,5.88,-1.48,2.18,10.12,6.58,2.52,0.41,1.76,-2.75,-0.6,6.08,2.69,-2.4,4.56,3.69,5.9,4.77,4.66,-0.48,-2.44,-3.86,0.25,7.11,0.15,-0.24,-4.21,0.35,2.83,2.1,-4.19,1.6,3.19,8.2,-0.58,1.47,3.23,0.28,4.7,-2.26,6.18,1.84,1.75
198404,-3.73,0.09,1.6,-0.47,4.39,-5.25,2.37,-0.09,-0.66,5.71,3.11,1.41,1.07,1.67,0.37,-1.58,-5.41,-5.59,1.68,-1.54,3.14,1.12,0.69,-9.99,-3.74,4.07,-0.39,2.18,-3.35,-1,0.6,-10.55,-0.68,-1.91,-0.04,2.88,-4.32,-0.74,0.78,-2.45,-0.69,-3.36,-5.16,0.07
198405,-4.45,-2.69,0.14,-0.26,-9.64,-2.1,-3.18,-2.02,-6.16,-4.26,-13.76,-4.98,-6.72,-6.41,-4.3,-8.85,-10.36,-9.48,1.31,-7.76,-8.63,-5.78,-1.3,-3.93,-5.74,-5.07,-0.83,-3.49,-3.17,-4.3,-5.18,-8.94,-4.79,-6.54,-9.82,-2.34,-4.29,-7.04,-5.05,-2.97,-10.32,-9.12,-3.54,-5.06
198406,2.8,7.33,5.51,0.77,-0.99,1.58,8.5,3.3,4.47,2.47,-0.63,5.19,0.16,3.62,2.47,1.76,0.04,-1.51,-0.58,-0.85,5.11,3.89,9.15,-8.95,-10.27,-2.2,0.48,12.26,8.59,6.26,-0.44,9.08,4.66,3.98,4.07,9.2,2.29,6.19,7.69,7.09,1.66,4.2,-0.06,1.48
198407,-0.71,-2.57,3.19,-2.87,2.14,-4.94,-1.68,0.05,-5.56,1.16,-2.63,-5.28,-2.3,-4.97,-8.51,-2.06,-3.6,-9.15,-7.41,-5.18,-2.34,4.15,3.99,-20.01,-13.15,-7.16,-0.03,2.87,2.83,-4.31,0.73,-14.86,-4.6,-3.92,4.65,-1.61,-2.6,-3.86,1.05,-2.12,0.98,-2.14,-2.37,-0.58
198408,10.89,9,2.53,5.86,16.9,6.56,11.03,7.43,9.93,15.94,14.62,7.75,13.67,11.32,8.21,13.43,9.39,13.74,9.35,12.76,14.97,9.68,13.76,14.32,20.55,13.77,7.75,7.15,12.79,14.02,13.17,18.21,14.98,12.75,11.57,11.05,10.86,13.91,9.12,7.32,10.97,13.78,8.89,10.06
198409,-3.69,3.04,3.35,1.03,-8.94,1.23,-2.17,-1.62,-1.03,-7.84,-4.94,-3.35,-3.05,-1.7,-3.17,-0.14,3.53,-3.46,-3.39,-1.55,-5.96,2.44,-2.37,4.17,-4.54,2.13,4.81,4.04,-0.63,-1.59,-1.76,-6.28,-6.78,-6.41,-4.5,-3.77,0.58,-0.21,0.29,-1.49,6.2,2.99,3.88,2.3
198410,-1.7,1.33,3.32,4.72,-2.2,-1.81,-0.43,1.46,-1.44,-0.3,-1.47,2.91,-1.3,0.23,1.7,0.96,-0.17,-1.98,-0.4,-3.21,0.82,2.11,5.9,-7.96,-7.71,-4.48,3.32,-3.52,0.08,-1.39,0.88,-5.89,-1.22,-2.59,2.6,3.25,2.29,0.67,-1.23,0.52,0.96,2.71,2.24,0.68
198411,4.68,0.54,-3.16,-0.11,-6.82,-0.14,0.92,-0.8,-0.55,-5.5,2.62,0.62,-0.6,-1.52,0.24,0.38,-1.05,-1.12,-4.58,-1.95,-4.23,-2.79,-7.01,-4.12,1.78,-1.05,3.03,0.46,-8.25,-3.1,-2.68,-4.3,-4.88,-6.07,-0.85,-1.86,-1.8,-1.95,-2.75,-3.93,0.18,0.66,-3.85,0.27
198412,8.59,2.89,0.72,1.55,3.34,-0.11,4.38,2.83,0.2,1.85,0.67,3.57,0.6,-0.03,2.68,2.26,-2.47,2.46,-2.64,1.33,4.46,4.5,4.11,-13.25,-4.27,-0.51,2.64,5.33,3.31,4,2.61,4.85,1.18,3.05,3.57,1.4,4.07,3.38,-0.11,2.2,5.74,5.51,2.51,3.62
198501,2.86,1.74,-2.07,5.26,10.64,16.34,12.2,7.5,12.54,17.13,10.67,5.77,7.08,12.06,8.49,10.91,17.82,10.41,10.55,11.69,13.43,8.88,10.04,10.37,13.68,6.52,2.39,5.25,14,13.08,11.43,22.12,12.35,12.92,5.57,7.51,9.84,15.53,12.76,11.21,9.63,9.94,8.83,8.12
198502,5.87,5.73,7.05,1.43,-0.96,5.76,1.35,0.69,1.77,3.88,4.27,3.34,2.24,0.59,3.29,0.13,-0.72,-0.27,-0.38,0.28,-1.11,-2.35,6.78,-5.59,-1.18,3.85,1.39,3.37,-0.56,3.45,-1.67,4.45,-2,-1.39,1.07,-0.31,2.49,0.19,2.31,4.23,0.32,4.81,-0.23,1.79
198503,0.88,5.63,11.63,4.28,-2.18,2.92,5.08,-3.02,0.57,-0.54,2.22,4.08,-2.18,-2.78,-3.72,-5.14,-2.98,-3.21,-0.73,-4.68,-5.37,-4.91,-3.86,21.46,1.56,1.6,6.11,4.45,-3.68,-2.29,-6.78,-6.93,-2.89,-7.59,-2.45,-0.06,-3.22,-0.75,-0.68,1.66,0.86,-0.72,-2.27,0.23
198504,5.42,-2.23,-1.84,1.47,-5.02,1.97,0.26,-1.06,0.3,-4.32,-1.98,-1.08,0.79,-2.12,-2.82,-2.34,-0.43,-4.69,-2.48,-3.33,-2.35,-4.27,-2.17,-6.31,-0.41,3.89,1.62,-0.71,-0.33,-0.97,-2.7,-6.13,-4.79,-4.87,1.53,-2.59,-3.21,-0.5,0.35,0.73,3.26,3.42,-2.46,2.01
198505,3.74,15.28,3.19,8.45,7.8,4.9,7.02,4.66,9.65,9.75,6.42,10.39,7.79,6.82,3.61,7.29,3.22,1.74,-2.07,3.64,7.02,7.48,9.41,1.77,-1.55,0.61,5.51,8.35,9.53,5.16,3.23,-0.27,2.3,3.06,6.22,1.18,11.16,5.19,11.41,6.11,6.02,7.32,4.59,5.92
198506,-1.47,3.25,3.87,3.68,1.99,10.25,1.96,2.59,0.99,6.99,2.71,1.13,1.34,2.01,3.57,1.88,1.05,-0.9,-1.26,0.18,1.56,0.71,0.81,0.68,-3.59,-0.77,3.63,4.5,6.34,1.12,-2.92,1.85,2.92,2.85,2.85,3.74,3.54,2.8,1.34,0.06,4.2,2.34,-1.51,2.83
198507,3.9,-4.55,0.47,1.18,0.96,-1.51,-3.5,2.54,1.88,-3.15,2.55,-0.38,4.13,3.01,3.78,2.96,2.95,7.77,3.42,4.2,4.18,1.05,3.64,13.43,8.48,-0.37,-4.7,-4.54,1.52,1.29,5.2,2.31,2.47,6.22,4.84,3.03,4.14,0.36,-5.68,-0.39,-2.05,-1.15,0.67,-1.17
198508,-1.96,3.79,0.59,2.25,-0.04,5.39,-1.8,-2.31,2.57,-6.66,1.31,0.26,-1.18,-0.79,0.83,-2.15,-3.69,-1.79,-5.22,-2.37,0.53,-1.53,-0.44,1.2,-2.01,1.4,1.92,0.52,-1.23,-0.12,-2.19,-8.15,-1.64,-5.64,-1.88,-1.1,-1.69,-0.95,-0.32,-2.39,-0.5,-1.04,-2.47,-0.06
